,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
0,frozenset({'CLASSIFICAÇÃO_AUTOMÓVEL'}),frozenset({'VELCOIDADE_velocidadeAlta'}),0.5668843394993642,0.9211916621586494,0.5483098448071154,0.9672340662847512,1.0499813513489793,1.0,0.026100717851987976,2.4051912735413428,0.10990628320248534,0.5834534908603964,0.5842326508495829,0.7812260255654335
1,"frozenset({'ENDEREÇO_Av. do Contorno, oposto ao nº 10812'})",frozenset({'VELCOIDADE_velocidadeAlta'}),0.44519509761906434,0.9211916621586494,0.42965736727109227,0.9650990533564521,1.0476636871581246,1.0,0.019547355310504166,2.2580573142109803,0.08200219060045857,0.4586782166847136,0.5571414446805465,0.7157568954163811
2,"frozenset({'VELCOIDADE_velocidadeAlta', 'ENDEREÇO_Av. do Contorno, oposto ao nº 10812'})",frozenset({'CLASSIFICAÇÃO_AUTOMÓVEL'}),0.42965736727109227,0.5668843394993642,0.32687896500607705,0.7607898523472374,1.342054806134031,1.0,0.08331293214956814,1.8106073874815143,0.44687865297884516,0.4881247598527578,0.4476991495152564,0.6687067935421507
3,"frozenset({'CLASSIFICAÇÃO_AUTOMÓVEL', 'ENDEREÇO_Av. do Contorno, oposto ao nº 10812'})",frozenset({'VELCOIDADE_velocidadeAlta'}),0.3320058100731353,0.9211916621586494,0.32687896500607705,0.9845579658201498,1.068787317845466,1.0,0.0210379809784767,5.103494586495913,0.09634837600571977,0.35287966553218114,0.8040558321260795,0.6697007825386636
4,frozenset({'SENTIDO_Centro/Barro Preto'}),"frozenset({'ENDEREÇO_Av. do Contorno, oposto ao nº 10812'})",0.44519509761906434,0.44519509761906434,0.44519509761906434,1.0,2.2462062258728195,1.0,0.24699642267501612,inf,1.0000000000000002,1.0,1.0,1.0
5,"frozenset({'ENDEREÇO_Av. do Contorno, oposto ao nº 10812'})",frozenset({'SENTIDO_Centro/Barro Preto'}),0.44519509761906434,0.44519509761906434,0.44519509761906434,1.0,2.2462062258728195,1.0,0.24699642267501612,inf,1.0000000000000002,1.0,1.0,1.0
6,frozenset({'SENTIDO_Centro/Barro Preto'}),frozenset({'VELCOIDADE_velocidadeAlta'}),0.44519509761906434,0.9211916621586494,0.42965736727109227,0.9650990533564521,1.0476636871581246,1.0,0.019547355310504166,2.2580573142109803,0.08200219060045857,0.4586782166847136,0.5571414446805465,0.7157568954163811
7,"frozenset({'SENTIDO_Centro/Barro Preto', 'VELCOIDADE_velocidadeAlta'})","frozenset({'ENDEREÇO_Av. do Contorno, oposto ao nº 10812'})",0.42965736727109227,0.44519509761906434,0.42965736727109227,1.0,2.2462062258728195,1.0,0.23837601370608816,inf,0.9727571998718928,0.9650990533564522,1.0,0.982549526678226
8,"frozenset({'SENTIDO_Centro/Barro Preto', 'ENDEREÇO_Av. do Contorno, oposto ao nº 10812'})",frozenset({'VELCOIDADE_velocidadeAlta'}),0.44519509761906434,0.9211916621586494,0.42965736727109227,0.9650990533564521,1.0476636871581246,1.0,0.019547355310504166,2.2580573142109803,0.08200219060045857,0.4586782166847136,0.5571414446805465,0.7157568954163811
9,"frozenset({'VELCOIDADE_velocidadeAlta', 'ENDEREÇO_Av. do Contorno, oposto ao nº 10812'})",frozenset({'SENTIDO_Centro/Barro Preto'}),0.42965736727109227,0.44519509761906434,0.42965736727109227,1.0,2.2462062258728195,1.0,0.23837601370608816,inf,0.9727571998718928,0.9650990533564522,1.0,0.982549526678226
10,frozenset({'SENTIDO_Centro/Barro Preto'}),"frozenset({'VELCOIDADE_velocidadeAlta', 'ENDEREÇO_Av. do Contorno, oposto ao nº 10812'})",0.44519509761906434,0.42965736727109227,0.42965736727109227,0.9650990533564521,2.2462062258728195,1.0,0.23837601370608816,16.341752519035065,1.0,0.9650990533564522,0.9388070527420368,0.982549526678226
11,"frozenset({'ENDEREÇO_Av. do Contorno, oposto ao nº 10812'})","frozenset({'SENTIDO_Centro/Barro Preto', 'VELCOIDADE_velocidadeAlta'})",0.44519509761906434,0.42965736727109227,0.42965736727109227,0.9650990533564521,2.2462062258728195,1.0,0.23837601370608816,16.341752519035065,1.0,0.9650990533564522,0.9388070527420368,0.982549526678226
12,"frozenset({'SENTIDO_Centro/Barro Preto', 'CLASSIFICAÇÃO_AUTOMÓVEL'})","frozenset({'ENDEREÇO_Av. do Contorno, oposto ao nº 10812'})",0.3320058100731353,0.44519509761906434,0.3320058100731353,1.0,2.2462062258728195,1.0,0.1841984510475293,inf,0.8305534849662067,0.7457535176122254,1.0,0.8728767588061127
13,"frozenset({'CLASSIFICAÇÃO_AUTOMÓVEL', 'ENDEREÇO_Av. do Contorno, oposto ao nº 10812'})",frozenset({'SENTIDO_Centro/Barro Preto'}),0.3320058100731353,0.44519509761906434,0.3320058100731353,1.0,2.2462062258728195,1.0,0.1841984510475293,inf,0.8305534849662067,0.7457535176122254,1.0,0.8728767588061127
14,"frozenset({'SENTIDO_Centro/Barro Preto', 'VELCOIDADE_velocidadeAlta'})",frozenset({'CLASSIFICAÇÃO_AUTOMÓVEL'}),0.42965736727109227,0.5668843394993642,0.32687896500607705,0.7607898523472374,1.342054806134031,1.0,0.08331293214956814,1.8106073874815143,0.44687865297884516,0.4881247598527578,0.4476991495152564,0.6687067935421507
15,"frozenset({'SENTIDO_Centro/Barro Preto', 'CLASSIFICAÇÃO_AUTOMÓVEL'})",frozenset({'VELCOIDADE_velocidadeAlta'}),0.3320058100731353,0.9211916621586494,0.32687896500607705,0.9845579658201498,1.068787317845466,1.0,0.0210379809784767,5.103494586495913,0.09634837600571977,0.35287966553218114,0.8040558321260795,0.6697007825386636
16,"frozenset({'SENTIDO_Centro/Barro Preto', 'VELCOIDADE_velocidadeAlta', 'CLASSIFICAÇÃO_AUTOMÓVEL'})","frozenset({'ENDEREÇO_Av. do Contorno, oposto ao nº 10812'})",0.32687896500607705,0.44519509761906434,0.32687896500607705,1.0,2.2462062258728195,1.0,0.18135405227057785,inf,0.824227551269356,0.7342375663035137,1.0,0.8671187831517568
17,"frozenset({'SENTIDO_Centro/Barro Preto', 'VELCOIDADE_velocidadeAlta', 'ENDEREÇO_Av. do Contorno, oposto ao nº 10812'})",frozenset({'CLASSIFICAÇÃO_AUTOMÓVEL'}),0.42965736727109227,0.5668843394993642,0.32687896500607705,0.7607898523472374,1.342054806134031,1.0,0.08331293214956814,1.8106073874815143,0.44687865297884516,0.4881247598527578,0.4476991495152564,0.6687067935421507
18,"frozenset({'SENTIDO_Centro/Barro Preto', 'CLASSIFICAÇÃO_AUTOMÓVEL', 'ENDEREÇO_Av. do Contorno, oposto ao nº 10812'})",frozenset({'VELCOIDADE_velocidadeAlta'}),0.3320058100731353,0.9211916621586494,0.32687896500607705,0.9845579658201498,1.068787317845466,1.0,0.0210379809784767,5.103494586495913,0.09634837600571977,0.35287966553218114,0.8040558321260795,0.6697007825386636
19,"frozenset({'VELCOIDADE_velocidadeAlta', 'CLASSIFICAÇÃO_AUTOMÓVEL', 'ENDEREÇO_Av. do Contorno, oposto ao nº 10812'})",frozenset({'SENTIDO_Centro/Barro Preto'}),0.32687896500607705,0.44519509761906434,0.32687896500607705,1.0,2.2462062258728195,1.0,0.18135405227057785,inf,0.824227551269356,0.7342375663035137,1.0,0.8671187831517568
