,support,itemsets
0,0.9211916621586494,frozenset({'VELCOIDADE_velocidadeAlta'})
1,0.5668843394993642,frozenset({'CLASSIFICAÇÃO_AUTOMÓVEL'})
2,0.44519509761906434,"frozenset({'ENDEREÇO_Av. do Contorno, oposto ao nº 10812'})"
3,0.44519509761906434,frozenset({'SENTIDO_Centro/Barro Preto'})
4,0.42470967198027243,frozenset({'FAIXA_3'})
5,0.323767554921701,frozenset({'CLASSIFICAÇÃO_MOTO'})
6,0.3136332979717435,frozenset({'SENTIDO_Praça da Estação / Rodoviária'})
7,0.3136332979717435,"frozenset({'ENDEREÇO_Av. do Contorno, nº 629'})"
8,0.27265278665720566,frozenset({'PERIODO DIA_Pico'})
9,0.2637251561413246,frozenset({'PERIODO DIA_Tarde'})
10,0.5483098448071154,"frozenset({'VELCOIDADE_velocidadeAlta', 'CLASSIFICAÇÃO_AUTOMÓVEL'})"
11,0.42965736727109227,"frozenset({'VELCOIDADE_velocidadeAlta', 'ENDEREÇO_Av. do Contorno, oposto ao nº 10812'})"
12,0.3320058100731353,"frozenset({'CLASSIFICAÇÃO_AUTOMÓVEL', 'ENDEREÇO_Av. do Contorno, oposto ao nº 10812'})"
13,0.32687896500607705,"frozenset({'VELCOIDADE_velocidadeAlta', 'CLASSIFICAÇÃO_AUTOMÓVEL', 'ENDEREÇO_Av. do Contorno, oposto ao nº 10812'})"
14,0.44519509761906434,"frozenset({'SENTIDO_Centro/Barro Preto', 'ENDEREÇO_Av. do Contorno, oposto ao nº 10812'})"
15,0.42965736727109227,"frozenset({'SENTIDO_Centro/Barro Preto', 'VELCOIDADE_velocidadeAlta'})"
16,0.3320058100731353,"frozenset({'SENTIDO_Centro/Barro Preto', 'CLASSIFICAÇÃO_AUTOMÓVEL'})"
17,0.42965736727109227,"frozenset({'SENTIDO_Centro/Barro Preto', 'VELCOIDADE_velocidadeAlta', 'ENDEREÇO_Av. do Contorno, oposto ao nº 10812'})"
18,0.3320058100731353,"frozenset({'SENTIDO_Centro/Barro Preto', 'CLASSIFICAÇÃO_AUTOMÓVEL', 'ENDEREÇO_Av. do Contorno, oposto ao nº 10812'})"
19,0.32687896500607705,"frozenset({'SENTIDO_Centro/Barro Preto', 'VELCOIDADE_velocidadeAlta', 'CLASSIFICAÇÃO_AUTOMÓVEL'})"
20,0.32687896500607705,"frozenset({'SENTIDO_Centro/Barro Preto', 'VELCOIDADE_velocidadeAlta', 'CLASSIFICAÇÃO_AUTOMÓVEL', 'ENDEREÇO_Av. do Contorno, oposto ao nº 10812'})"
21,0.40386243404829314,"frozenset({'VELCOIDADE_velocidadeAlta', 'FAIXA_3'})"
22,0.3305049916045497,"frozenset({'SENTIDO_Centro/Barro Preto', 'FAIXA_3'})"
23,0.3305049916045497,"frozenset({'ENDEREÇO_Av. do Contorno, oposto ao nº 10812', 'FAIXA_3'})"
24,0.3041647053864366,"frozenset({'CLASSIFICAÇÃO_AUTOMÓVEL', 'FAIXA_3'})"
25,0.31841677263434476,"frozenset({'SENTIDO_Centro/Barro Preto', 'VELCOIDADE_velocidadeAlta', 'FAIXA_3'})"
26,0.3305049916045497,"frozenset({'SENTIDO_Centro/Barro Preto', 'ENDEREÇO_Av. do Contorno, oposto ao nº 10812', 'FAIXA_3'})"
27,0.31841677263434476,"frozenset({'VELCOIDADE_velocidadeAlta', 'ENDEREÇO_Av. do Contorno, oposto ao nº 10812', 'FAIXA_3'})"
28,0.31841677263434476,"frozenset({'SENTIDO_Centro/Barro Preto', 'VELCOIDADE_velocidadeAlta', 'ENDEREÇO_Av. do Contorno, oposto ao nº 10812', 'FAIXA_3'})"
29,0.2976081748501816,"frozenset({'VELCOIDADE_velocidadeAlta', 'CLASSIFICAÇÃO_AUTOMÓVEL', 'FAIXA_3'})"
30,0.2611907137186576,"frozenset({'CLASSIFICAÇÃO_AUTOMÓVEL', 'ENDEREÇO_Av. do Contorno, oposto ao nº 10812', 'FAIXA_3'})"
31,0.2611907137186576,"frozenset({'SENTIDO_Centro/Barro Preto', 'CLASSIFICAÇÃO_AUTOMÓVEL', 'FAIXA_3'})"
32,0.2568472098300536,"frozenset({'VELCOIDADE_velocidadeAlta', 'CLASSIFICAÇÃO_AUTOMÓVEL', 'ENDEREÇO_Av. do Contorno, oposto ao nº 10812', 'FAIXA_3'})"
33,0.2611907137186576,"frozenset({'SENTIDO_Centro/Barro Preto', 'CLASSIFICAÇÃO_AUTOMÓVEL', 'ENDEREÇO_Av. do Contorno, oposto ao nº 10812', 'FAIXA_3'})"
34,0.2568472098300536,"frozenset({'SENTIDO_Centro/Barro Preto', 'VELCOIDADE_velocidadeAlta', 'CLASSIFICAÇÃO_AUTOMÓVEL', 'FAIXA_3'})"
35,0.2568472098300536,"frozenset({'VELCOIDADE_velocidadeAlta', 'SENTIDO_Centro/Barro Preto', 'ENDEREÇO_Av. do Contorno, oposto ao nº 10812', 'FAIXA_3', 'CLASSIFICAÇÃO_AUTOMÓVEL'})"
36,0.30951285311825993,"frozenset({'VELCOIDADE_velocidadeAlta', 'CLASSIFICAÇÃO_MOTO'})"
37,0.2737531526847877,"frozenset({'VELCOIDADE_velocidadeAlta', 'SENTIDO_Praça da Estação / Rodoviária'})"
38,0.3136332979717435,"frozenset({'SENTIDO_Praça da Estação / Rodoviária', 'ENDEREÇO_Av. do Contorno, nº 629'})"
39,0.2737531526847877,"frozenset({'VELCOIDADE_velocidadeAlta', 'ENDEREÇO_Av. do Contorno, nº 629'})"
40,0.2737531526847877,"frozenset({'VELCOIDADE_velocidadeAlta', 'SENTIDO_Praça da Estação / Rodoviária', 'ENDEREÇO_Av. do Contorno, nº 629'})"
