Pattern,#SUP:
4_328_AUTOMÓVEL_PEQUENO_41-60,7314.0
3_366_AUTOMÓVEL_MÉDIO_41-60,7345.0
3_366_AUTOMÓVEL_MÉDIO_41-60 4_349_AUTOMÓVEL_MÉDIO_41-60,7257.0
3_366_AUTOMÓVEL_MÉDIO_41-60 2_350_AUTOMÓVEL_MÉDIO_41-60,7283.0
2_349_AUTOMÓVEL_MÉDIO_0-40,7364.0
2_349_AUTOMÓVEL_MÉDIO_0-40 4_349_AUTOMÓVEL_MÉDIO_41-60,7262.0
2_349_AUTOMÓVEL_MÉDIO_0-40 2_350_AUTOMÓVEL_MÉDIO_41-60,7276.0
2_349_AUTOMÓVEL_PEQUENO_0-40,7385.0
2_349_AUTOMÓVEL_PEQUENO_0-40 4_349_AUTOMÓVEL_MÉDIO_41-60,7280.0
2_349_AUTOMÓVEL_PEQUENO_0-40 2_349_AUTOMÓVEL_PEQUENO_41-60,7271.0
2_349_AUTOMÓVEL_PEQUENO_0-40 2_349_AUTOMÓVEL_MÉDIO_41-60,7271.0
2_349_AUTOMÓVEL_PEQUENO_0-40 2_350_AUTOMÓVEL_MÉDIO_41-60,7288.0
2_328_AUTOMÓVEL_PEQUENO_41-60,7442.0
2_328_AUTOMÓVEL_PEQUENO_41-60 1_328_AUTOMÓVEL_PEQUENO_41-60,7250.0
2_328_AUTOMÓVEL_PEQUENO_41-60 2_328_AUTOMÓVEL_MÉDIO_41-60,7314.0
2_328_AUTOMÓVEL_PEQUENO_41-60 3_349_AUTOMÓVEL_MÉDIO_41-60,7271.0
2_328_AUTOMÓVEL_PEQUENO_41-60 4_349_AUTOMÓVEL_MÉDIO_41-60,7307.0
2_328_AUTOMÓVEL_PEQUENO_41-60 2_349_AUTOMÓVEL_PEQUENO_41-60,7312.0
2_328_AUTOMÓVEL_PEQUENO_41-60 2_349_AUTOMÓVEL_MÉDIO_41-60,7317.0
2_328_AUTOMÓVEL_PEQUENO_41-60 2_350_AUTOMÓVEL_MÉDIO_41-60,7322.0
1_328_AUTOMÓVEL_PEQUENO_41-60,7517.0
1_328_AUTOMÓVEL_PEQUENO_41-60 2_328_AUTOMÓVEL_MÉDIO_41-60,7389.0
1_328_AUTOMÓVEL_PEQUENO_41-60 2_328_AUTOMÓVEL_MÉDIO_41-60 4_349_AUTOMÓVEL_MÉDIO_41-60,7267.0
1_328_AUTOMÓVEL_PEQUENO_41-60 2_328_AUTOMÓVEL_MÉDIO_41-60 2_349_AUTOMÓVEL_PEQUENO_41-60,7275.0
1_328_AUTOMÓVEL_PEQUENO_41-60 2_328_AUTOMÓVEL_MÉDIO_41-60 2_349_AUTOMÓVEL_MÉDIO_41-60,7268.0
1_328_AUTOMÓVEL_PEQUENO_41-60 2_328_AUTOMÓVEL_MÉDIO_41-60 2_350_AUTOMÓVEL_MÉDIO_41-60,7287.0
1_328_AUTOMÓVEL_PEQUENO_41-60 1_349_AUTOMÓVEL_PEQUENO_41-60,7272.0
1_328_AUTOMÓVEL_PEQUENO_41-60 2_366_AUTOMÓVEL_MÉDIO_41-60,7250.0
1_328_AUTOMÓVEL_PEQUENO_41-60 3_349_AUTOMÓVEL_MÉDIO_41-60,7338.0
1_328_AUTOMÓVEL_PEQUENO_41-60 3_349_AUTOMÓVEL_MÉDIO_41-60 4_349_AUTOMÓVEL_MÉDIO_41-60,7248.0
1_328_AUTOMÓVEL_PEQUENO_41-60 3_349_AUTOMÓVEL_MÉDIO_41-60 2_349_AUTOMÓVEL_PEQUENO_41-60,7263.0
1_328_AUTOMÓVEL_PEQUENO_41-60 3_349_AUTOMÓVEL_MÉDIO_41-60 2_349_AUTOMÓVEL_MÉDIO_41-60,7255.0
1_328_AUTOMÓVEL_PEQUENO_41-60 4_349_AUTOMÓVEL_MÉDIO_41-60,7380.0
1_328_AUTOMÓVEL_PEQUENO_41-60 4_349_AUTOMÓVEL_MÉDIO_41-60 2_349_AUTOMÓVEL_PEQUENO_41-60,7284.0
1_328_AUTOMÓVEL_PEQUENO_41-60 4_349_AUTOMÓVEL_MÉDIO_41-60 2_349_AUTOMÓVEL_MÉDIO_41-60,7282.0
1_328_AUTOMÓVEL_PEQUENO_41-60 4_349_AUTOMÓVEL_MÉDIO_41-60 2_350_AUTOMÓVEL_MÉDIO_41-60,7285.0
1_328_AUTOMÓVEL_PEQUENO_41-60 2_349_AUTOMÓVEL_PEQUENO_41-60,7390.0
1_328_AUTOMÓVEL_PEQUENO_41-60 2_349_AUTOMÓVEL_PEQUENO_41-60 2_349_AUTOMÓVEL_MÉDIO_41-60,7312.0
1_328_AUTOMÓVEL_PEQUENO_41-60 2_349_AUTOMÓVEL_PEQUENO_41-60 2_350_AUTOMÓVEL_MÉDIO_41-60,7289.0
1_328_AUTOMÓVEL_PEQUENO_41-60 2_349_AUTOMÓVEL_MÉDIO_41-60,7385.0
1_328_AUTOMÓVEL_PEQUENO_41-60 2_349_AUTOMÓVEL_MÉDIO_41-60 2_350_AUTOMÓVEL_MÉDIO_41-60,7285.0
1_328_AUTOMÓVEL_PEQUENO_41-60 2_350_AUTOMÓVEL_MÉDIO_41-60,7399.0
4_370_AUTOMÓVEL_MÉDIO_0-40,7633.0
4_370_AUTOMÓVEL_MÉDIO_0-40 2_328_AUTOMÓVEL_MÉDIO_41-60,7289.0
4_370_AUTOMÓVEL_MÉDIO_0-40 1_349_AUTOMÓVEL_PEQUENO_41-60,7389.0
4_370_AUTOMÓVEL_MÉDIO_0-40 1_349_AUTOMÓVEL_PEQUENO_41-60 3_349_AUTOMÓVEL_MÉDIO_41-60,7299.0
4_370_AUTOMÓVEL_MÉDIO_0-40 1_349_AUTOMÓVEL_PEQUENO_41-60 3_349_AUTOMÓVEL_MÉDIO_41-60 2_349_AUTOMÓVEL_PEQUENO_41-60,7248.0
4_370_AUTOMÓVEL_MÉDIO_0-40 1_349_AUTOMÓVEL_PEQUENO_41-60 3_349_AUTOMÓVEL_MÉDIO_41-60 2_349_AUTOMÓVEL_MÉDIO_41-60,7249.0
4_370_AUTOMÓVEL_MÉDIO_0-40 1_349_AUTOMÓVEL_PEQUENO_41-60 3_349_AUTOMÓVEL_MÉDIO_41-60 2_350_AUTOMÓVEL_MÉDIO_41-60,7247.0
4_370_AUTOMÓVEL_MÉDIO_0-40 1_349_AUTOMÓVEL_PEQUENO_41-60 4_349_AUTOMÓVEL_MÉDIO_41-60,7305.0
4_370_AUTOMÓVEL_MÉDIO_0-40 1_349_AUTOMÓVEL_PEQUENO_41-60 4_349_AUTOMÓVEL_MÉDIO_41-60 2_349_AUTOMÓVEL_PEQUENO_41-60,7255.0
4_370_AUTOMÓVEL_MÉDIO_0-40 1_349_AUTOMÓVEL_PEQUENO_41-60 4_349_AUTOMÓVEL_MÉDIO_41-60 2_349_AUTOMÓVEL_MÉDIO_41-60,7254.0
4_370_AUTOMÓVEL_MÉDIO_0-40 1_349_AUTOMÓVEL_PEQUENO_41-60 4_349_AUTOMÓVEL_MÉDIO_41-60 2_350_AUTOMÓVEL_MÉDIO_41-60,7256.0
4_370_AUTOMÓVEL_MÉDIO_0-40 1_349_AUTOMÓVEL_PEQUENO_41-60 2_349_AUTOMÓVEL_PEQUENO_41-60,7327.0
4_370_AUTOMÓVEL_MÉDIO_0-40 1_349_AUTOMÓVEL_PEQUENO_41-60 2_349_AUTOMÓVEL_PEQUENO_41-60 2_349_AUTOMÓVEL_MÉDIO_41-60,7279.0
4_370_AUTOMÓVEL_MÉDIO_0-40 1_349_AUTOMÓVEL_PEQUENO_41-60 2_349_AUTOMÓVEL_PEQUENO_41-60 2_350_AUTOMÓVEL_MÉDIO_41-60,7271.0
4_370_AUTOMÓVEL_MÉDIO_0-40 1_349_AUTOMÓVEL_PEQUENO_41-60 2_349_AUTOMÓVEL_MÉDIO_41-60,7327.0
4_370_AUTOMÓVEL_MÉDIO_0-40 1_349_AUTOMÓVEL_PEQUENO_41-60 2_349_AUTOMÓVEL_MÉDIO_41-60 2_350_AUTOMÓVEL_MÉDIO_41-60,7266.0
4_370_AUTOMÓVEL_MÉDIO_0-40 1_349_AUTOMÓVEL_PEQUENO_41-60 2_350_AUTOMÓVEL_MÉDIO_41-60,7325.0
4_370_AUTOMÓVEL_MÉDIO_0-40 2_366_AUTOMÓVEL_MÉDIO_41-60,7388.0
4_370_AUTOMÓVEL_MÉDIO_0-40 2_366_AUTOMÓVEL_MÉDIO_41-60 4_349_AUTOMÓVEL_MÉDIO_41-60,7274.0
4_370_AUTOMÓVEL_MÉDIO_0-40 2_366_AUTOMÓVEL_MÉDIO_41-60 2_349_AUTOMÓVEL_PEQUENO_41-60,7265.0
4_370_AUTOMÓVEL_MÉDIO_0-40 2_366_AUTOMÓVEL_MÉDIO_41-60 2_349_AUTOMÓVEL_MÉDIO_41-60,7255.0
4_370_AUTOMÓVEL_MÉDIO_0-40 2_366_AUTOMÓVEL_MÉDIO_41-60 2_350_AUTOMÓVEL_MÉDIO_41-60,7318.0
4_370_AUTOMÓVEL_MÉDIO_0-40 3_349_AUTOMÓVEL_MÉDIO_41-60,7463.0
4_370_AUTOMÓVEL_MÉDIO_0-40 3_349_AUTOMÓVEL_MÉDIO_41-60 4_349_AUTOMÓVEL_MÉDIO_41-60,7374.0
4_370_AUTOMÓVEL_MÉDIO_0-40 3_349_AUTOMÓVEL_MÉDIO_41-60 4_349_AUTOMÓVEL_MÉDIO_41-60 2_349_AUTOMÓVEL_PEQUENO_41-60,7304.0
4_370_AUTOMÓVEL_MÉDIO_0-40 3_349_AUTOMÓVEL_MÉDIO_41-60 4_349_AUTOMÓVEL_MÉDIO_41-60 2_349_AUTOMÓVEL_PEQUENO_41-60 2_349_AUTOMÓVEL_MÉDIO_41-60,7251.0
4_370_AUTOMÓVEL_MÉDIO_0-40 3_349_AUTOMÓVEL_MÉDIO_41-60 4_349_AUTOMÓVEL_MÉDIO_41-60 2_349_AUTOMÓVEL_PEQUENO_41-60 2_350_AUTOMÓVEL_MÉDIO_41-60,7255.0
4_370_AUTOMÓVEL_MÉDIO_0-40 3_349_AUTOMÓVEL_MÉDIO_41-60 4_349_AUTOMÓVEL_MÉDIO_41-60 2_349_AUTOMÓVEL_MÉDIO_41-60,7302.0
4_370_AUTOMÓVEL_MÉDIO_0-40 3_349_AUTOMÓVEL_MÉDIO_41-60 4_349_AUTOMÓVEL_MÉDIO_41-60 2_349_AUTOMÓVEL_MÉDIO_41-60 2_350_AUTOMÓVEL_MÉDIO_41-60,7247.0
4_370_AUTOMÓVEL_MÉDIO_0-40 3_349_AUTOMÓVEL_MÉDIO_41-60 4_349_AUTOMÓVEL_MÉDIO_41-60 2_350_AUTOMÓVEL_MÉDIO_41-60,7314.0
4_370_AUTOMÓVEL_MÉDIO_0-40 3_349_AUTOMÓVEL_MÉDIO_41-60 2_349_AUTOMÓVEL_PEQUENO_41-60,7381.0
4_370_AUTOMÓVEL_MÉDIO_0-40 3_349_AUTOMÓVEL_MÉDIO_41-60 2_349_AUTOMÓVEL_PEQUENO_41-60 2_349_AUTOMÓVEL_MÉDIO_41-60,7317.0
4_370_AUTOMÓVEL_MÉDIO_0-40 3_349_AUTOMÓVEL_MÉDIO_41-60 2_349_AUTOMÓVEL_PEQUENO_41-60 2_349_AUTOMÓVEL_MÉDIO_41-60 2_350_AUTOMÓVEL_MÉDIO_41-60,7260.0
4_370_AUTOMÓVEL_MÉDIO_0-40 3_349_AUTOMÓVEL_MÉDIO_41-60 2_349_AUTOMÓVEL_PEQUENO_41-60 2_350_AUTOMÓVEL_MÉDIO_41-60,7320.0
4_370_AUTOMÓVEL_MÉDIO_0-40 3_349_AUTOMÓVEL_MÉDIO_41-60 2_349_AUTOMÓVEL_MÉDIO_41-60,7376.0
4_370_AUTOMÓVEL_MÉDIO_0-40 3_349_AUTOMÓVEL_MÉDIO_41-60 2_349_AUTOMÓVEL_MÉDIO_41-60 2_350_AUTOMÓVEL_MÉDIO_41-60,7309.0
4_370_AUTOMÓVEL_MÉDIO_0-40 3_349_AUTOMÓVEL_MÉDIO_41-60 2_350_AUTOMÓVEL_MÉDIO_41-60,7389.0
4_370_AUTOMÓVEL_MÉDIO_0-40 4_349_AUTOMÓVEL_MÉDIO_41-60,7497.0
4_370_AUTOMÓVEL_MÉDIO_0-40 4_349_AUTOMÓVEL_MÉDIO_41-60 2_349_AUTOMÓVEL_PEQUENO_41-60,7395.0
4_370_AUTOMÓVEL_MÉDIO_0-40 4_349_AUTOMÓVEL_MÉDIO_41-60 2_349_AUTOMÓVEL_PEQUENO_41-60 2_349_AUTOMÓVEL_MÉDIO_41-60,7331.0
4_370_AUTOMÓVEL_MÉDIO_0-40 4_349_AUTOMÓVEL_MÉDIO_41-60 2_349_AUTOMÓVEL_PEQUENO_41-60 2_349_AUTOMÓVEL_MÉDIO_41-60 2_350_AUTOMÓVEL_MÉDIO_41-60,7275.0
4_370_AUTOMÓVEL_MÉDIO_0-40 4_349_AUTOMÓVEL_MÉDIO_41-60 2_349_AUTOMÓVEL_PEQUENO_41-60 2_350_AUTOMÓVEL_MÉDIO_41-60,7335.0
4_370_AUTOMÓVEL_MÉDIO_0-40 4_349_AUTOMÓVEL_MÉDIO_41-60 2_349_AUTOMÓVEL_MÉDIO_41-60,7390.0
4_370_AUTOMÓVEL_MÉDIO_0-40 4_349_AUTOMÓVEL_MÉDIO_41-60 2_349_AUTOMÓVEL_MÉDIO_41-60 2_350_AUTOMÓVEL_MÉDIO_41-60,7325.0
