,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
0,frozenset({'TAMANHO_bin_0.0'}),frozenset({'VELOCIDADE DA VIA_bin_0.0'}),0.9999220607147032,1.0,0.9999220607147032,1.0,1.0,1.0,0.0,inf,0.0,0.9999220607147032,0.0,0.9999610303573516
1,frozenset({'VELOCIDADE DA VIA_bin_0.0'}),frozenset({'TAMANHO_bin_0.0'}),1.0,0.9999220607147032,0.9999220607147032,0.9999220607147032,1.0,1.0,0.0,1.0,0.0,0.9999220607147032,0.0,0.9999610303573516
2,frozenset({'VELOCIDADE AFERIDA_bin_0.0'}),frozenset({'VELOCIDADE DA VIA_bin_0.0'}),0.9996121592707852,1.0,0.9996121592707852,1.0,1.0,1.0,0.0,inf,0.0,0.9996121592707852,0.0,0.9998060796353926
3,frozenset({'VELOCIDADE DA VIA_bin_0.0'}),frozenset({'VELOCIDADE AFERIDA_bin_0.0'}),1.0,0.9996121592707852,0.9996121592707852,0.9996121592707852,1.0,1.0,0.0,1.0,0.0,0.9996121592707852,0.0,0.9998060796353926
4,frozenset({'TAMANHO_bin_0.0'}),frozenset({'VELOCIDADE AFERIDA_bin_0.0'}),0.9999220607147032,0.9996121592707852,0.9995676225363299,0.9996455341948152,1.000033387873207,1.0,3.33723228123084e-05,1.0941555533476381,0.4283688048606636,0.9996010117599464,0.08605316955122441,0.9998004900902493
5,frozenset({'VELOCIDADE AFERIDA_bin_0.0'}),frozenset({'TAMANHO_bin_0.0'}),0.9996121592707852,0.9999220607147032,0.9995676225363299,0.9999554459856833,1.000033387873207,1.0,3.33723228123084e-05,1.7493212787239967,0.08608368327343244,0.9996010117599464,0.42834971930974985,0.9998004900902493
6,"frozenset({'TAMANHO_bin_0.0', 'VELOCIDADE AFERIDA_bin_0.0'})",frozenset({'VELOCIDADE DA VIA_bin_0.0'}),0.9995676225363299,1.0,0.9995676225363299,1.0,1.0,1.0,0.0,inf,0.0,0.9995676225363299,0.0,0.999783811268165
7,"frozenset({'TAMANHO_bin_0.0', 'VELOCIDADE DA VIA_bin_0.0'})",frozenset({'VELOCIDADE AFERIDA_bin_0.0'}),0.9999220607147032,0.9996121592707852,0.9995676225363299,0.9996455341948152,1.000033387873207,1.0,3.33723228123084e-05,1.0941555533476381,0.4283688048606636,0.9996010117599464,0.08605316955122441,0.9998004900902493
8,"frozenset({'VELOCIDADE AFERIDA_bin_0.0', 'VELOCIDADE DA VIA_bin_0.0'})",frozenset({'TAMANHO_bin_0.0'}),0.9996121592707852,0.9999220607147032,0.9995676225363299,0.9999554459856833,1.000033387873207,1.0,3.33723228123084e-05,1.7493212787239967,0.08608368327343244,0.9996010117599464,0.42834971930974985,0.9998004900902493
9,frozenset({'TAMANHO_bin_0.0'}),"frozenset({'VELOCIDADE AFERIDA_bin_0.0', 'VELOCIDADE DA VIA_bin_0.0'})",0.9999220607147032,0.9996121592707852,0.9995676225363299,0.9996455341948152,1.000033387873207,1.0,3.33723228123084e-05,1.0941555533476381,0.4283688048606636,0.9996010117599464,0.08605316955122441,0.9998004900902493
