,support,itemsets
0,1.0,frozenset({'VELOCIDADE DA VIA_bin_0.0'})
1,0.9999220607147032,frozenset({'TAMANHO_bin_0.0'})
2,0.9996121592707852,frozenset({'VELOCIDADE AFERIDA_bin_0.0'})
3,0.9725097006574736,frozenset({'ACIMA VELOCIDADE PERMITIDA_False'})
4,0.8656623633046999,frozenset({'CLASSIFICAÇÃO_AUTOMÓVEL'})
5,0.33570120304853945,frozenset({'FAIXA_bin_1.0'})
6,0.23147596593682093,frozenset({'SENTIDO_Centro/Barro Preto'})
7,0.23147596593682093,"frozenset({'ENDEREÇO_Av. do Contorno, oposto ao nº 10812'})"
8,0.23052956032964605,frozenset({'FAIXA_bin_0.0'})
9,0.4337692366218145,frozenset({'FAIXA_bin_2.0'})
10,0.21217300294499156,frozenset({'SENTIDO_Barro Preto/Centro'})
11,0.21217300294499156,"frozenset({'ENDEREÇO_Av. do Contorno, nº 10.730'})"
12,0.2789335678934681,frozenset({'SENTIDO_Praça da Estação / Rodoviária'})
13,0.2789335678934681,"frozenset({'ENDEREÇO_Av. do Contorno, nº 629'})"
14,0.11085378775648055,"frozenset({'ENDEREÇO_Av. do Contorno, oposto ao nº 5.445'})"
15,0.11085378775648055,frozenset({'SENTIDO_São Lucas/Savassi'})
16,0.9999220607147032,"frozenset({'TAMANHO_bin_0.0', 'VELOCIDADE DA VIA_bin_0.0'})"
17,0.9996121592707852,"frozenset({'VELOCIDADE AFERIDA_bin_0.0', 'VELOCIDADE DA VIA_bin_0.0'})"
18,0.9995676225363299,"frozenset({'TAMANHO_bin_0.0', 'VELOCIDADE AFERIDA_bin_0.0'})"
19,0.9995676225363299,"frozenset({'TAMANHO_bin_0.0', 'VELOCIDADE AFERIDA_bin_0.0', 'VELOCIDADE DA VIA_bin_0.0'})"
20,0.9725097006574736,"frozenset({'ACIMA VELOCIDADE PERMITIDA_False', 'VELOCIDADE DA VIA_bin_0.0'})"
21,0.9724633082257493,"frozenset({'ACIMA VELOCIDADE PERMITIDA_False', 'TAMANHO_bin_0.0'})"
22,0.9723037182606178,"frozenset({'ACIMA VELOCIDADE PERMITIDA_False', 'VELOCIDADE AFERIDA_bin_0.0'})"
23,0.9724633082257493,"frozenset({'ACIMA VELOCIDADE PERMITIDA_False', 'TAMANHO_bin_0.0', 'VELOCIDADE DA VIA_bin_0.0'})"
24,0.9723037182606178,"frozenset({'ACIMA VELOCIDADE PERMITIDA_False', 'VELOCIDADE AFERIDA_bin_0.0', 'VELOCIDADE DA VIA_bin_0.0'})"
25,0.9722591815261625,"frozenset({'ACIMA VELOCIDADE PERMITIDA_False', 'TAMANHO_bin_0.0', 'VELOCIDADE AFERIDA_bin_0.0'})"
